GENESIS-Tabelle: 12411-0018
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2016;01001;Flensburg, kreisfreie Stadt;1270;1121;1525;1732;1280;1000;4074;4319;3014;2636;2343;3149;3298;2796;2374;3968;3718;1187;1162;1358;1639;1063;1054;4315;3448;2405;2224;2351;2950;3157;2922;2525;4537;5518
31.12.2016;01002;Kiel, kreisfreie Stadt;3574;3102;3979;5017;3138;2591;10354;12689;9874;7912;7041;8912;9007;7529;6248;10328;9178;3416;2946;3861;4523;2836;2708;11638;12732;9546;7722;6881;8419;9142;7869;6757;11577;14395
31.12.2016;01003;Lübeck, kreisfreie Stadt;3020;2718;3637;4501;3058;2189;6808;7732;7051;6165;6098;8072;8664;7276;5979;10490;10463;2676;2608;3467;4342;2819;2309;6668;7529;6603;6562;6202;8154;8936;7876;6796;12641;16603
31.12.2016;01004;Neumünster, kreisfreie Stadt;1045;1011;1489;1884;1393;1005;2517;2811;2425;2285;2297;3105;3254;2909;2299;3934;3775;1002;975;1397;1708;1287;932;2131;2434;2224;2168;2224;3023;3160;2873;2506;4371;5827
31.12.2016;01051;Dithmarschen, Landkreis;1609;1631;2359;3189;2307;1589;3919;3651;3335;3283;3648;5296;5778;5119;4458;7685;7035;1591;1522;2242;3077;2141;1616;3430;3191;3125;3355;3556;5311;5878;5285;4652;7962;9735
31.12.2016;01053;Herzogtum Lauenburg, Landkreis;2767;2668;3683;4947;3418;2246;4935;5053;5232;5512;5657;7957;9089;7454;5934;9558;9643;2687;2435;3485;4697;3072;1968;4205;4706;5362;5785;6013;8154;9078;7641;5963;10489;13570
31.12.2016;01054;Nordfriesland, Landkreis;2101;1936;2774;3987;2867;2064;4953;5103;4382;4166;4377;6362;7187;6075;5218;9041;8339;1999;1829;2587;3859;2724;1892;4070;4185;4053;4378;4639;6474;7556;6578;5612;9890;11669
31.12.2016;01055;Ostholstein, Landkreis;2082;2263;3215;4418;3125;2165;4858;4834;4517;4841;5263;7879;8707;7771;6773;12596;11729;2112;2189;3116;4251;2889;1938;4099;4397;4597;5336;5602;8284;9231;8415;7505;13537;16279
31.12.2016;01056;Pinneberg, Landkreis;4391;4241;5890;7638;4941;3540;8406;8584;8427;9200;9267;13080;14079;11608;8813;15226;14982;4168;4043;5630;7150;4638;3154;7191;7743;8596;9635;9672;13027;14223;11715;9328;17437;20990
31.12.2016;01057;Plön, Landkreis;1557;1505;2286;3117;2188;1558;3081;2944;2739;3209;3393;5196;5914;4954;4161;7586;7220;1465;1522;2214;2916;2075;1332;2569;2685;2994;3377;3748;5462;6049;5155;4468;8389;9675
31.12.2016;01058;Rendsburg-Eckernförde, Landkreis;3512;3572;5125;6941;4917;3518;6961;6754;6523;7028;7747;11360;12500;10433;8695;14882;13606;3363;3329;4843;6551;4538;3063;5931;6000;6652;7502;8056;11634;12873;10650;8995;15773;18510
31.12.2016;01059;Schleswig-Flensburg, Landkreis;2621;2625;3808;5029;3689;2520;5160;5143;4883;5266;5432;8093;9010;7549;6343;11242;10084;2493;2482;3455;4794;3354;2163;4426;4683;4889;5383;5608;8188;8911;7630;6625;11543;13561
31.12.2016;01060;Segeberg, Landkreis;3741;3732;5244;6666;4562;3271;7271;7529;7721;8228;8213;11519;12566;10205;7931;13692;12611;3558;3561;4703;6337;4198;2827;6068;6856;7686;8486;8310;11514;12232;10313;8411;15229;17244
31.12.2016;01061;Steinburg, Landkreis;1667;1682;2311;3193;2354;1658;3661;3721;3304;3357;3623;5602;6384;5339;4182;6755;6449;1678;1550;2222;3056;2203;1409;3158;3281;3241;3435;3724;5707;6259;5232;4115;7215;9148
31.12.2016;01062;Stormarn, Landkreis;3292;3513;4766;5973;3967;2788;5905;5575;5994;7265;7239;10147;11094;8935;7078;12373;12264;3229;3231;4595;5612;3876;2446;4895;5205;6568;7604;7521;10499;11227;9021;7548;13519;17047
31.12.2016;02000;Hamburg, kreisfreie Stadt;30180;25990;33078;39192;24807;18913;55125;72834;73870;68440;60514;70053;70656;55882;43047;74040;69668;29126;24883;30957;36541;22434;17011;54171;75946;74803;68219;59281;67025;69031;56645;46472;84600;107004
31.12.2016;03101;Braunschweig, kreisfreie Stadt;3386;3057;3958;4870;3131;2576;9150;11594;10124;8227;7356;9230;9391;8078;6646;10929;11111;3414;2954;3828;4623;2937;2297;8187;10088;8748;7868;7121;8711;9247;8382;7289;12715;17444
31.12.2016;03102;Salzgitter, kreisfreie Stadt;1614;1499;2017;2532;1645;1245;3264;3439;3089;3022;2844;3655;4216;3832;3283;5281;5051;1492;1441;1805;2256;1565;1074;2909;2874;2681;2786;2805;3711;4067;3827;3414;5827;7606
31.12.2016;03103;Wolfsburg, kreisfreie Stadt;2029;1787;2180;2641;1686;1192;3531;4812;4735;4280;3574;4355;4930;4290;3605;5547;6470;1843;1615;2071;2469;1545;1087;3136;4163;4209;3827;3383;4391;4698;4375;3865;6302;9286
31.12.2016;03151;Gifhorn, Landkreis;2634;2417;3471;4468;3150;2181;4953;4977;5149;5078;5079;7041;8327;7380;5708;8091;7361;2508;2369;3257;4305;2976;1810;4046;4452;4850;5172;5087;7012;8127;7085;5694;8425;10109
31.12.2016;03152;Göttingen, Landkreis (bis 31.10.2016);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2016;03153;Goslar, Landkreis;1484;1385;2113;2737;2076;1572;4473;4322;3388;3495;3569;5368;5914;5320;4774;8039;8172;1430;1322;1920;2607;1849;1375;3222;3322;3294;3264;3656;5291;5764;5438;4880;8880;12264
31.12.2016;03154;Helmstedt, Landkreis;1220;1097;1547;2093;1461;1037;2403;2630;2635;2609;2662;3617;4210;3874;3200;4832;4535;1156;1070;1461;1920;1296;908;2031;2411;2464;2610;2484;3582;4175;3741;3187;4991;6930
31.12.2016;03155;Northeim, Landkreis;1643;1531;2209;3005;2130;1560;3473;3468;3243;3398;3589;5129;5999;5747;4845;7426;7350;1506;1512;2086;2756;2016;1478;3001;3154;3105;3369;3620;5285;6049;5545;4813;7530;11040
31.12.2016;03156;Osterode am Harz, Landkreis (bis 31.10.2016);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2016;03157;Peine, Landkreis;1860;1825;2554;3409;2458;1612;3569;3413;3509;3725;3957;5685;6281;5232;4160;6389;6064;1841;1778;2374;3211;2207;1391;3063;3196;3466;3890;4051;5633;6008;5018;4302;6770;9078
31.12.2016;03158;Wolfenbüttel, Landkreis;1521;1429;2065;2837;2121;1473;3420;3335;3192;3112;3291;4986;5712;4838;3968;6368;6173;1430;1442;1917;2643;1861;1322;2923;2903;2907;3333;3475;5071;5481;4843;4029;6846;8637
31.12.2016;03159;Göttingen, Landkreis;4217;3936;5487;7103;5065;3966;11710;11982;9980;8623;8535;11694;13256;12374;10451;16493;15719;4033;3603;5023;6753;4560;3765;11185;11196;9616;8873;8942;11837;13453;12495;10694;17405;23041
31.12.2016;03201;Hannover, kreisfreie Stadt (bis 31.10.2001);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2016;03241;Region Hannover, Landkreis;17151;15758;21153;25903;17067;12462;35382;39880;37904;35898;34624;43914;47488;40418;32685;52033;51756;16236;14764;19975;24677;15878;11899;33250;38323;37531;36551;34635;43282;46953;40714;35262;59106;78188
31.12.2016;03251;Diepholz, Landkreis;2868;2830;3935;5332;3751;2689;5854;5905;5726;5695;6074;9017;10131;8762;7057;10793;10450;2734;2574;3687;4987;3411;2367;5136;5375;5561;5820;6261;9147;9614;8479;6979;11425;14656
31.12.2016;03252;Hameln-Pyrmont, Landkreis;1863;1790;2539;3353;2291;1676;3946;3721;3688;3785;3936;5535;6531;5853;5086;7820;8190;1820;1755;2347;3247;2147;1596;3439;3714;3706;3896;4016;5777;6516;6099;5236;8803;12548
31.12.2016;03253;Hannover, Landkreis (bis 31.10.2001);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2016;03254;Hildesheim, Landkreis;3561;3283;4613;6521;4459;3323;8358;8324;7271;7340;7738;10671;12296;10852;8769;13893;13799;3285;3220;4402;6048;4111;3208;8647;7641;7067;7511;7850;10837;12105;10798;9202;15292;21005
31.12.2016;03255;Holzminden, Landkreis;851;796;1158;1622;1237;848;2017;2076;1897;1759;1756;2684;3128;2856;2552;3990;4159;800;782;1103;1506;1059;749;1821;1694;1616;1750;1818;2733;3044;2871;2557;4238;5983
31.12.2016;03256;Nienburg (Weser), Landkreis;1594;1565;2229;3051;2148;1551;3553;3476;3247;3267;3425;4862;5635;5086;4112;5928;5647;1608;1555;2172;2925;1967;1399;2873;2999;3104;3185;3346;4813;5382;4897;4072;6213;8617
31.12.2016;03257;Schaumburg, Landkreis;1931;1878;2598;3742;2656;1887;4093;4082;3935;4120;4310;6354;7313;6380;5129;8376;8249;1923;1811;2531;3507;2559;1652;3667;3776;3892;4115;4278;6488;7234;6223;5348;9028;12551
31.12.2016;03351;Celle, Landkreis;2473;2365;3378;4439;3132;2100;4851;5131;4959;5030;4784;6726;7723;6674;5856;9369;8739;2433;2311;3150;4314;2848;1843;4297;4667;4809;4896;4976;6673;7542;6866;6249;10019;12748
31.12.2016;03352;Cuxhaven, Landkreis;2520;2535;3581;4772;3318;2293;5147;5058;4999;4981;5404;7826;8616;7505;6773;11836;10247;2322;2326;3400;4610;3156;2099;4163;4683;4790;5157;5651;8066;8849;7982;7152;12219;14634
31.12.2016;03353;Harburg, Landkreis;3580;3488;4779;6208;4206;2972;6847;6490;6467;7144;7369;10450;11741;9554;7377;12859;11937;3307;3363;4585;5897;3816;2633;5355;5515;6456;7686;7689;10917;11889;9589;7619;14335;16207
31.12.2016;03354;Lüchow-Dannenberg, Landkreis;557;553;812;1163;812;523;1198;1134;1208;1221;1231;1833;2095;1998;1734;3101;2894;512;521;700;1118;720;458;962;989;1082;1251;1218;1838;2147;2120;1897;3139;4086
31.12.2016;03355;Lüneburg, Landkreis;2641;2507;3484;4533;3166;2215;5606;5667;5243;5448;5483;7394;7908;6565;5299;8346;7324;2433;2458;3322;4314;2927;2079;5501;5329;5279;5802;5650;7537;8171;6582;5508;8983;10901
31.12.2016;03356;Osterholz, Landkreis;1530;1478;2096;2803;1976;1405;2800;2658;2704;2996;3175;4860;5238;4517;3566;6214;5443;1430;1318;1899;2609;1782;1212;2466;2397;2777;3241;3349;4855;5314;4528;3789;6706;7564
31.12.2016;03357;Rotenburg (Wümme), Landkreis;2161;2057;3025;4331;3075;2266;5172;5149;4603;4572;4777;6680;7581;6316;5278;8108;7210;2067;1931;2933;3911;2832;1954;4087;4131;4314;4382;4725;6751;7093;6329;5326;8136;10109
31.12.2016;03358;Heidekreis;1981;1880;2602;3568;2437;1819;4389;4560;3908;3643;3863;5515;6068;5495;4425;6950;6721;1696;1694;2409;3280;2283;1511;3363;3551;3634;3855;3775;5573;6132;5472;4504;7302;9783
31.12.2016;03359;Stade, Landkreis;2953;2862;3999;5008;3513;2468;5975;6221;5927;5940;6178;8192;8812;7605;6008;9970;8935;2735;2626;3593;4915;3381;2311;4982;5374;5618;5851;6029;7879;8541;7574;6384;10871;12408
31.12.2016;03360;Uelzen, Landkreis;1083;1030;1527;2207;1567;1060;2525;2538;2249;2353;2576;3611;4135;3781;3151;4971;5163;1032;1036;1476;2058;1368;1008;2270;2222;2084;2384;2732;3661;4158;3819;3257;5370;7499
31.12.2016;03361;Verden, Landkreis;2029;1894;2600;3338;2325;1673;3896;3712;3711;3691;3881;5428;5917;5122;4368;7134;6200;1920;1846;2484;3212;2262;1527;3181;3391;3723;3817;3909;5485;6091;5328;4559;7531;8657
31.12.2016;03401;Delmenhorst, kreisfreie Stadt;1192;1048;1411;1972;1236;884;2436;2657;2276;2123;2277;2806;3308;2782;2289;3948;3524;1166;940;1263;1659;1186;795;2202;2356;2108;2174;2235;2907;3149;2864;2486;4353;5033
31.12.2016;03402;Emden, kreisfreie Stadt;767;638;926;1186;842;598;1987;1954;1589;1467;1434;1968;2027;1729;1482;2448;2163;667;637;827;1135;776;604;1701;1739;1424;1400;1371;1898;1906;1706;1548;2673;3269
31.12.2016;03403;Oldenburg (Oldenburg), kreisfreie Stadt;2360;2085;2744;3541;2445;1920;5743;7041;5863;5048;4619;6121;6216;5490;4456;7132;6301;2191;2033;2724;3426;2282;1975;6568;7471;6013;5091;4901;6327;6889;5867;5011;8061;9756
