GENESIS-Tabelle: 12411-0016
Bevölkerung: Kreise, Stichtag, Geschlecht;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;
Bevölkerungsstand (Anzahl);;;;;
;;;Geschlecht;Geschlecht;Geschlecht
;;;männlich;weiblich;Insgesamt
31.12.2016;01001;Flensburg, kreisfreie Stadt;43617;43815;87432
31.12.2016;01002;Kiel, kreisfreie Stadt;120473;126968;247441
31.12.2016;01003;Lübeck, kreisfreie Stadt;103921;112791;216712
31.12.2016;01004;Neumünster, kreisfreie Stadt;39438;40242;79680
31.12.2016;01051;Dithmarschen, Landkreis;65891;67669;133560
31.12.2016;01053;Herzogtum Lauenburg, Landkreis;95753;99310;195063
31.12.2016;01054;Nordfriesland, Landkreis;80932;83994;164926
31.12.2016;01055;Ostholstein, Landkreis;97036;103777;200813
31.12.2016;01056;Pinneberg, Landkreis;152313;158340;310653
31.12.2016;01057;Plön, Landkreis;62608;66095;128703
31.12.2016;01058;Rendsburg-Eckernförde, Landkreis;134074;138263;272337
31.12.2016;01059;Schleswig-Flensburg, Landkreis;98497;100188;198685
31.12.2016;01060;Segeberg, Landkreis;134702;137533;272235
31.12.2016;01061;Steinburg, Landkreis;65242;66633;131875
31.12.2016;01062;Stormarn, Landkreis;118168;123643;241811
31.12.2016;02000;Hamburg, kreisfreie Stadt;886289;924149;1810438
31.12.2016;03101;Braunschweig, kreisfreie Stadt;122814;125853;248667
31.12.2016;03102;Salzgitter, kreisfreie Stadt;51528;52140;103668
31.12.2016;03103;Wolfsburg, kreisfreie Stadt;61644;62265;123909
31.12.2016;03151;Gifhorn, Landkreis;87465;87284;174749
31.12.2016;03152;Göttingen, Landkreis (bis 31.10.2016);-;-;-
31.12.2016;03153;Goslar, Landkreis;68201;69778;137979
31.12.2016;03154;Helmstedt, Landkreis;45662;46417;92079
31.12.2016;03155;Northeim, Landkreis;65745;67865;133610
31.12.2016;03156;Osterode am Harz, Landkreis (bis 31.10.2016);-;-;-
31.12.2016;03157;Peine, Landkreis;65702;67277;132979
31.12.2016;03158;Wolfenbüttel, Landkreis;59841;61063;120904
31.12.2016;03159;Göttingen, Landkreis;160591;166474;327065
31.12.2016;03201;Hannover, kreisfreie Stadt (bis 31.10.2001);-;-;-
31.12.2016;03241;Region Hannover, Landkreis;561476;587224;1148700
31.12.2016;03251;Diepholz, Landkreis;106869;108213;215082
31.12.2016;03252;Hameln-Pyrmont, Landkreis;71603;76662;148265
31.12.2016;03253;Hannover, Landkreis (bis 31.10.2001);-;-;-
31.12.2016;03254;Hildesheim, Landkreis;135071;142229;277300
31.12.2016;03255;Holzminden, Landkreis;35386;36124;71510
31.12.2016;03256;Nienburg (Weser), Landkreis;60376;61127;121503
31.12.2016;03257;Schaumburg, Landkreis;77033;80583;157616
31.12.2016;03351;Celle, Landkreis;87729;90641;178370
31.12.2016;03352;Cuxhaven, Landkreis;97411;101259;198670
31.12.2016;03353;Harburg, Landkreis;123468;126858;250326
31.12.2016;03354;Lüchow-Dannenberg, Landkreis;24067;24758;48825
31.12.2016;03355;Lüneburg, Landkreis;88829;92776;181605
31.12.2016;03356;Osterholz, Landkreis;55459;57236;112695
31.12.2016;03357;Rotenburg (Wümme), Landkreis;82361;81011;163372
31.12.2016;03358;Heidekreis;69824;69817;139641
31.12.2016;03359;Stade, Landkreis;100566;101072;201638
31.12.2016;03360;Uelzen, Landkreis;45527;47434;92961
31.12.2016;03361;Verden, Landkreis;66919;68923;135842
31.12.2016;03401;Delmenhorst, kreisfreie Stadt;38169;38876;77045
31.12.2016;03402;Emden, kreisfreie Stadt;25205;25281;50486
31.12.2016;03403;Oldenburg (Oldenburg), kreisfreie Stadt;79125;86586;165711
31.12.2016;03404;Osnabrück, kreisfreie Stadt;79430;84640;164070
31.12.2016;03405;Wilhelmshaven, kreisfreie Stadt;37511;38690;76201
31.12.2016;03451;Ammerland, Landkreis;60199;62499;122698
31.12.2016;03452;Aurich, Landkreis;93830;96236;190066
31.12.2016;03453;Cloppenburg, Landkreis;83809;82121;165930
31.12.2016;03454;Emsland, Landkreis;163325;158066;321391
31.12.2016;03455;Friesland, Landkreis;48073;50336;98409
31.12.2016;03456;Grafschaft Bentheim, Landkreis;67880;67890;135770
31.12.2016;03457;Leer, Landkreis;83797;84456;168253
31.12.2016;03458;Oldenburg, Landkreis;64480;65004;129484
31.12.2016;03459;Osnabrück, Landkreis;176113;178694;354807
31.12.2016;03460;Vechta, Landkreis;70641;69030;139671
31.12.2016;03461;Wesermarsch, Landkreis;44719;44563;89282
31.12.2016;03462;Wittmund, Landkreis;27923;28958;56881
31.12.2016;04011;Bremen, kreisfreie Stadt;279170;286549;565719
31.12.2016;04012;Bremerhaven, kreisfreie Stadt;56304;56730;113034
31.12.2016;05111;Düsseldorf, kreisfreie Stadt;296231;316999;613230
31.12.2016;05112;Duisburg, kreisfreie Stadt;247099;252746;499845
31.12.2016;05113;Essen, kreisfreie Stadt;283065;300019;583084
31.12.2016;05114;Krefeld, kreisfreie Stadt;110593;116219;226812
31.12.2016;05116;Mönchengladbach, kreisfreie Stadt;128169;132756;260925
31.12.2016;05117;Mülheim an der Ruhr, kreisfreie Stadt;82431;88505;170936
31.12.2016;05119;Oberhausen, kreisfreie Stadt;103720;107662;211382
31.12.2016;05120;Remscheid, kreisfreie Stadt;54533;56078;110611
31.12.2016;05122;Solingen, kreisfreie Stadt;77127;81781;158908
31.12.2016;05124;Wuppertal, kreisfreie Stadt;172255;180135;352390
31.12.2016;05154;Kleve, Landkreis;154691;155638;310329
31.12.2016;05158;Mettmann, Landkreis;234237;250533;484770
31.12.2016;05162;Rhein-Kreis Neuss;217438;229993;447431
31.12.2016;05166;Viersen, Landkreis;145816;152606;298422
31.12.2016;05170;Wesel, Landkreis;225410;236305;461715
31.12.2016;05313;Aachen, kreisfreie Stadt (bis 20.10.2009);-;-;-
31.12.2016;05314;Bonn, kreisfreie Stadt;153493;168632;322125
31.12.2016;05315;Köln, kreisfreie Stadt;524790;551145;1075935
31.12.2016;05316;Leverkusen, kreisfreie Stadt;79343;83770;163113
31.12.2016;05334;Städteregion Aachen, Landkreis;278499;273973;552472
31.12.2016;05354;Aachen, Landkreis (bis 20.10.2009);-;-;-
31.12.2016;05358;Düren, Landkreis;129836;132236;262072
31.12.2016;05362;Rhein-Erft-Kreis;227484;238065;465549
31.12.2016;05366;Euskirchen, Landkreis;94518;96684;191202
31.12.2016;05370;Heinsberg, Landkreis;124985;127666;252651
31.12.2016;05374;Oberbergischer Kreis;134326;138813;273139
31.12.2016;05378;Rheinisch-Bergischer Kreis;137735;145569;283304
31.12.2016;05382;Rhein-Sieg-Kreis;293180;304674;597854
31.12.2016;05512;Bottrop, kreisfreie Stadt;57195;60214;117409
31.12.2016;05513;Gelsenkirchen, kreisfreie Stadt;130776;131752;262528
31.12.2016;05515;Münster, kreisfreie Stadt;149412;162434;311846
31.12.2016;05554;Borken, Landkreis;184397;184829;369226
31.12.2016;05558;Coesfeld, Landkreis;108175;110844;219019
31.12.2016;05562;Recklinghausen, Landkreis;301319;315876;617195
31.12.2016;05566;Steinfurt, Landkreis;221214;223195;444409
31.12.2016;05570;Warendorf, Landkreis;137261;140483;277744
31.12.2016;05711;Bielefeld, kreisfreie Stadt;161109;172342;333451
31.12.2016;05754;Gütersloh, Landkreis;180790;181038;361828
31.12.2016;05758;Herford, Landkreis;123035;128039;251074
31.12.2016;05762;Höxter, Landkreis;70618;71237;141855
31.12.2016;05766;Lippe, Landkreis;171173;177760;348933
31.12.2016;05770;Minden-Lübbecke, Landkreis;153817;158049;311866
31.12.2016;05774;Paderborn, Landkreis;152878;152320;305198
31.12.2016;05911;Bochum, kreisfreie Stadt;177592;187328;364920
31.12.2016;05913;Dortmund, kreisfreie Stadt;287897;297916;585813
31.12.2016;05914;Hagen, kreisfreie Stadt;91677;96589;188266
31.12.2016;05915;Hamm, kreisfreie Stadt;88209;91362;179571
31.12.2016;05916;Herne, kreisfreie Stadt;76745;80029;156774
31.12.2016;05954;Ennepe-Ruhr-Kreis;158061;167313;325374
31.12.2016;05958;Hochsauerlandkreis;130716;131553;262269
31.12.2016;05962;Märkischer Kreis;204373;210513;414886
31.12.2016;05966;Olpe, Landkreis;67603;67380;134983
31.12.2016;05970;Siegen-Wittgenstein, Landkreis;138036;139897;277933
31.12.2016;05974;Soest, Landkreis;149932;151723;301655
31.12.2016;05978;Unna, Landkreis;191746;202123;393869
31.12.2016;06411;Darmstadt, kreisfreie Stadt;80183;77254;157437
31.12.2016;06412;Frankfurt am Main, kreisfreie Stadt;363754;372660;736414
31.12.2016;06413;Offenbach am Main, kreisfreie Stadt;61529;63060;124589
31.12.2016;06414;Wiesbaden, kreisfreie Stadt;132595;145024;277619
31.12.2016;06431;Bergstraße, Landkreis;132477;135458;267935
31.12.2016;06432;Darmstadt-Dieburg, Landkreis;146512;148232;294744
31.12.2016;06433;Groß-Gerau, Landkreis;134248;134797;269045
31.12.2016;06434;Hochtaunuskreis;113842;121149;234991
31.12.2016;06435;Main-Kinzig-Kreis;205724;210991;416715
31.12.2016;06436;Main-Taunus-Kreis;115238;120470;235708
31.12.2016;06437;Odenwaldkreis;47652;48821;96473
31.12.2016;06438;Offenbach, Landkreis;172406;177576;349982
31.12.2016;06439;Rheingau-Taunus-Kreis;91423;94245;185668
31.12.2016;06440;Wetteraukreis;150313;153601;303914
31.12.2016;06531;Gießen, Landkreis;130779;134920;265699
31.12.2016;06532;Lahn-Dill-Kreis;125288;128786;254074
31.12.2016;06533;Limburg-Weilburg, Landkreis;85537;86583;172120
31.12.2016;06534;Marburg-Biedenkopf, Landkreis;120651;124362;245013
31.12.2016;06535;Vogelsbergkreis;53438;53299;106737
31.12.2016;06611;Kassel, kreisfreie Stadt;97228;101834;199062
31.12.2016;06631;Fulda, Landkreis;109685;111485;221170
