ID;Kreise;Maennlich;Weiblich;Insgesamt
01001;Flensburg, kreisfreie Stadt;43617;43815;87432
01002;Kiel, kreisfreie Stadt;120473;126968;247441
01003;Lübeck, kreisfreie Stadt;103921;112791;216712
01004;Neumünster, kreisfreie Stadt;39438;40242;79680
01051;Dithmarschen, Landkreis;65891;67669;133560
01053;Herzogtum Lauenburg, Landkreis;95753;99310;195063
01054;Nordfriesland, Landkreis;80932;83994;164926
01055;Ostholstein, Landkreis;97036;103777;200813
01056;Pinneberg, Landkreis;152313;158340;310653
01057;Plön, Landkreis;62608;66095;128703
01058;Rendsburg-Eckernförde, Landkreis;134074;138263;272337
01059;Schleswig-Flensburg, Landkreis;98497;100188;198685
01060;Segeberg, Landkreis;134702;137533;272235
01061;Steinburg, Landkreis;65242;66633;131875
01062;Stormarn, Landkreis;118168;123643;241811
02000;Hamburg, kreisfreie Stadt;886289;924149;1810438
03101;Braunschweig, kreisfreie Stadt;122814;125853;248667
03102;Salzgitter, kreisfreie Stadt;51528;52140;103668
03103;Wolfsburg, kreisfreie Stadt;61644;62265;123909
03151;Gifhorn, Landkreis;87465;87284;174749
03152;Göttingen, Landkreis (bis 31.10.2016);-;-;-
03153;Goslar, Landkreis;68201;69778;137979
03154;Helmstedt, Landkreis;45662;46417;92079
03155;Northeim, Landkreis;65745;67865;133610
03156;Osterode am Harz, Landkreis (bis 31.10.2016);-;-;-
03157;Peine, Landkreis;65702;67277;132979
03158;Wolfenbüttel, Landkreis;59841;61063;120904
03159;Göttingen, Landkreis;160591;166474;327065
03201;Hannover, kreisfreie Stadt (bis 31.10.2001);-;-;-
03241;Region Hannover, Landkreis;561476;587224;1148700
03251;Diepholz, Landkreis;106869;108213;215082
03252;Hameln-Pyrmont, Landkreis;71603;76662;148265
03253;Hannover, Landkreis (bis 31.10.2001);-;-;-
03254;Hildesheim, Landkreis;135071;142229;277300
03255;Holzminden, Landkreis;35386;36124;71510
03256;Nienburg (Weser), Landkreis;60376;61127;121503
03257;Schaumburg, Landkreis;77033;80583;157616
03351;Celle, Landkreis;87729;90641;178370
03352;Cuxhaven, Landkreis;97411;101259;198670
03353;Harburg, Landkreis;123468;126858;250326
03354;Lüchow-Dannenberg, Landkreis;24067;24758;48825
03355;Lüneburg, Landkreis;88829;92776;181605
03356;Osterholz, Landkreis;55459;57236;112695
03357;Rotenburg (Wümme), Landkreis;82361;81011;163372
03358;Heidekreis;69824;69817;139641
03359;Stade, Landkreis;100566;101072;201638
03360;Uelzen, Landkreis;45527;47434;92961
03361;Verden, Landkreis;66919;68923;135842
03401;Delmenhorst, kreisfreie Stadt;38169;38876;77045
03402;Emden, kreisfreie Stadt;25205;25281;50486
03403;Oldenburg (Oldenburg), kreisfreie Stadt;79125;86586;165711
03404;Osnabrück, kreisfreie Stadt;79430;84640;164070
03405;Wilhelmshaven, kreisfreie Stadt;37511;38690;76201
03451;Ammerland, Landkreis;60199;62499;122698
03452;Aurich, Landkreis;93830;96236;190066
03453;Cloppenburg, Landkreis;83809;82121;165930
03454;Emsland, Landkreis;163325;158066;321391
03455;Friesland, Landkreis;48073;50336;98409
03456;Grafschaft Bentheim, Landkreis;67880;67890;135770
03457;Leer, Landkreis;83797;84456;168253
03458;Oldenburg, Landkreis;64480;65004;129484
03459;Osnabrück, Landkreis;176113;178694;354807
03460;Vechta, Landkreis;70641;69030;139671
03461;Wesermarsch, Landkreis;44719;44563;89282
03462;Wittmund, Landkreis;27923;28958;56881
04011;Bremen, kreisfreie Stadt;279170;286549;565719
04012;Bremerhaven, kreisfreie Stadt;56304;56730;113034
05111;Düsseldorf, kreisfreie Stadt;296231;316999;613230
05112;Duisburg, kreisfreie Stadt;247099;252746;499845
05113;Essen, kreisfreie Stadt;283065;300019;583084
05114;Krefeld, kreisfreie Stadt;110593;116219;226812
05116;Mönchengladbach, kreisfreie Stadt;128169;132756;260925
05117;Mülheim an der Ruhr, kreisfreie Stadt;82431;88505;170936
05119;Oberhausen, kreisfreie Stadt;103720;107662;211382
